Date,MSFT,NVDA,PFE,GS,SBUX,CAT,XOM,PG
2014-01-02,31.29081916809082,3.740722179412842,19.972841262817383,146.7728729248047,32.1141242980957,68.1180419921875,64.87960815429688,60.40799331665039
2014-01-03,31.08031463623047,3.6959102153778076,20.012176513671875,147.81832885742188,32.02256393432617,68.08014678955078,64.72346496582031,60.34046936035156
2014-01-06,30.423503875732422,3.7454400062561035,20.03184700012207,148.8306121826172,31.697973251342773,67.18575286865234,64.82103729248047,60.48299026489258
2014-01-07,30.659276962280273,3.806762933731079,20.156435012817383,147.93450927734375,32.130767822265625,67.40556335449219,65.73815155029297,61.06802749633789
2014-01-08,30.111936569213867,3.8586528301239014,20.29413604736328,148.05899047851562,32.47201156616211,67.56476593017578,65.52348327636719,60.18296813964844
2014-01-09,29.918258666992188,3.7147774696350098,20.281015396118164,147.19601440429688,32.29308319091797,67.99678039550781,64.88610076904297,60.3179817199707
2014-01-10,30.347719192504883,3.7100610733032227,20.1236515045166,148.01747131347656,32.322200775146484,68.6031494140625,65.38040924072266,60.22798156738281
2014-01-13,29.45513343811035,3.622792959213257,20.025293350219727,145.93482971191406,31.26100730895996,68.13322448730469,64.09907531738281,60.01045608520508
2014-01-14,30.1287841796875,3.7360048294067383,20.326915740966797,146.53225708007812,31.40251350402832,68.64102172851562,64.4698257446289,60.65550231933594
2014-01-15,30.95399284362793,3.7761008739471436,20.444944381713867,148.31625366210938,31.706300735473633,70.04328155517578,64.24867248535156,60.59549331665039
2014-01-16,31.063467025756836,3.787893533706665,20.438396453857422,145.34573364257812,31.33176612854004,70.19586181640625,64.35273742675781,60.4229736328125
2014-01-17,30.63401985168457,3.7713844776153564,20.385936737060547,146.26673889160156,31.169475555419922,69.76099395751953,64.49583435058594,59.9129638671875
2014-01-21,30.45717430114746,3.7855355739593506,20.477725982666016,143.71112060546875,30.649295806884766,69.12016296386719,64.06655883789062,60.13799285888672
2014-01-22,30.25508689880371,3.780818462371826,20.503963470458984,144.1094207763672,30.628477096557617,68.38774871826172,63.66327667236328,59.87499237060547
2014-01-23,30.364561080932617,3.7666666507720947,20.33347511291504,141.67825317382812,30.54108238220215,67.50275421142578,63.0713996887207,59.12683868408203
2014-01-24,30.996103286743164,3.6699652671813965,19.7302303314209,139.0977325439453,31.20276641845703,65.74041748046875,61.69249725341797,59.83721923828125
2014-01-27,30.339290618896484,3.646378517150879,19.448272705078125,136.6500244140625,30.88232421875,69.64655303955078,61.738033294677734,59.30062484741211
2014-01-28,30.5413818359375,3.681757926940918,19.946611404418945,137.9443817138672,30.74915885925293,70.54679107666016,62.212860107421875,59.784305572509766
2014-01-29,30.869792938232422,3.646378517150879,19.74333381652832,135.9945831298828,29.779539108276367,69.13542175292969,61.86161804199219,58.67341232299805
2014-01-30,31.03820037841797,3.707703113555908,20.208892822265625,137.60426330566406,29.925195693969727,71.10370635986328,61.133148193359375,58.091495513916016
2014-01-31,31.863431930541992,3.702986240386963,19.933488845825195,136.17713928222656,29.596431732177734,71.64541625976562,59.94287872314453,57.90257263183594
2014-02-03,30.718219757080078,3.6534557342529297,20.064632415771484,132.60922241210938,28.701717376708984,70.50865173339844,58.57048416137695,57.20732879638672
2014-02-04,30.608745574951172,3.674682140350342,20.615432739257812,134.21888732910156,29.5120906829834,70.56968688964844,58.55096435546875,57.50204849243164
2014-02-05,30.162458419799805,3.6416616439819336,20.26500701904297,133.10704040527344,29.44525718688965,70.1576919555664,58.26479721069336,57.77409744262695
2014-02-06,30.46560287475586,3.6888325214385986,20.390626907348633,134.21063232421875,30.22640037536621,71.58438873291016,58.82155227661133,58.11416244506836
2014-02-07,30.785587310791016,3.7430813312530518,20.641878128051758,134.35992431640625,30.928163528442383,72.37779235839844,59.33246994018555,58.42401885986328
2014-02-10,30.9876766204834,3.7548742294311523,20.807170867919922,133.5883331298828,31.245641708374023,72.09550476074219,58.63815689086914,58.9681282043457
2014-02-11,31.299238204956055,3.832707166671753,21.0782527923584,136.40113830566406,31.12032699584961,72.44647216796875,59.502777099609375,59.580238342285156
2014-02-12,31.551860809326172,3.96950626373291,20.899738311767578,135.6626739501953,30.873865127563477,73.36957550048828,59.660003662109375,58.560054779052734
2014-02-13,31.669757843017578,4.094511985778809,20.959247589111328,136.12730407714844,31.199697494506836,73.32380676269531,59.889251708984375,58.794334411621094
2014-02-14,31.67816162109375,4.224233627319336,21.117919921875,135.84519958496094,31.341716766357422,73.65949249267578,61.64472961425781,60.00344467163086
2014-02-18,31.746028900146484,4.2218756675720215,21.0782527923584,136.61688232421875,30.898935317993164,73.6671142578125,61.61851501464844,58.92279815673828
2014-02-19,31.8223819732666,4.2784810066223145,20.813779830932617,135.46353149414062,30.62740707397461,73.40010070800781,61.53993225097656,59.0512580871582
2014-02-20,32.025997161865234,4.429431915283203,20.860065460205078,136.49240112304688,30.723485946655273,73.9417724609375,62.47007369995117,58.885009765625
2014-02-21,32.22113037109375,4.3964104652404785,20.80056381225586,136.49240112304688,30.309938430786133,74.3842544555664,62.24734878540039,58.92279815673828
2014-02-24,31.975093841552734,4.460092544555664,21.150983810424805,138.18504333496094,30.309938430786133,74.2469253540039,63.170936584472656,58.83966827392578
2014-02-25,31.84784507751465,4.439953804016113,21.084863662719727,135.64602661132812,29.470327377319336,73.55268859863281,63.08580780029297,59.03615188598633
2014-02-26,31.788454055786133,4.432847023010254,21.150983810424805,135.537841796875,29.984115600585938,74.15538024902344,62.74517822265625,58.83966827392578
